i,j,owner1,owner2,token_set,rapidfuzz,levenshtein,core_sim,label
186357,211883,UNIVERSAL IMP EXP HOSPITALITY,UNIVERSAL LOGISTICS,64.28571428571428,58.33333333333333,16,100.0,
94826,243433,S S SELVI UNIVERSAL AGENCY,UNIVERSAL AIRCON SYSTEMS,66.66666666666666,52.0,21,69.23076923076923,
55,194622,RR INFRA,RR INFRA PROJECTS DEVELOPERS,100.0,44.44444444444444,20,100.0,
44623,192408,CONCEPT PLAST,CONCEPT INDIA,70.0,69.23076923076923,5,100.0,
194679,288709,FILTER CONCEPT,GLOBAL CONCEPTS,62.06896551724138,62.06896551724138,7,62.06896551724138,
93768,347595,SUPERMARKET GROCERY SUPPLIES,A V SUPPLIES,80.0,55.00000000000001,17,80.0,
88813,268475,ROCKCITY READYMIX CONCRETE,READYMIX CONSTRUCTION MACHINERY,63.1578947368421,52.63157894736843,25,63.63636363636363,
148827,295168,AGARWAL WOOD INDUSTRIES,ARIN WOOD PRODUCTS,63.41463414634146,58.53658536585367,12,50.0,
195286,282920,SRINIVASA PHARMA,SAI SRINIVASA BIO PRODUCTS,72.0,57.14285714285714,15,72.0,
6981,169850,BABU MATHEW PROPRIETOR,BABU LAL,66.66666666666666,40.0,16,66.66666666666666,
100090,294831,PIONEER POLYLEATHERS,PIONEER PRINTERS PACKAGERS,60.869565217391305,60.86956521739131,12,60.869565217391305,
54130,267369,SHAKYA LOGISTICS PARK,N E LOGISTICK PARK,71.7948717948718,71.7948717948718,7,53.333333333333336,
110684,172849,PIONEER TYRES,PIONEER INFO SOLUTIONS INDIA,70.0,48.78048780487805,18,73.6842105263158,
142647,308155,MAHALAYA RESIDENCY,ORIENTAL RESIDENCY HOTELS,66.66666666666666,55.81395348837209,15,66.66666666666666,
12215,107465,ASHOK GULATI HUF,ASHOK KUMAR SONS HUF,72.0,66.66666666666667,8,72.0,
57347,317994,UNIVERSAL ROADWAYS,UNIVERSAL TOURS TRAVELS,66.66666666666666,63.41463414634146,10,100.0,
103952,279548,ARCHITECTS,DAULAT PUNEET ARCHITECTS,100.0,58.82352941176471,14,100.0,
161622,327462,VENKATESWARA COTTON TRADERS,VENKATESWARA SPARE PARTS,66.66666666666666,66.66666666666667,11,77.41935483870968,
49557,322980,UNIVERSAL AGROSCIENCES,UNIVERSAL MILL STORES,60.46511627906977,60.46511627906976,10,60.46511627906977,
262414,346298,PIONEER MARKETING,PIONEER STEELS,66.66666666666666,58.06451612903225,8,100.0,
282840,288917,UNIVERSAL MART,SAVITT UNIVERSAL,80.0,60.0,12,100.0,
81,93265,LAKSHMI GANESH ALLUMINIUM MILL,ROYAL ALLUMINIUM,76.92307692307692,52.17391304347826,18,76.92307692307692,
61474,273168,NEXA PROCESSORS,KAMAL PROCESSORS,80.0,77.41935483870968,4,80.0,
27041,172825,PREMIER CARWORLD,PREMIER ELECTRICAL SERVICE,60.869565217391305,52.38095238095239,15,64.70588235294117,
251297,294228,ASHOK KUMAR RAJPAL,ASHOK KUMAR ARORA OIL,76.92307692307692,76.92307692307692,6,76.92307692307692,
102400,275900,R D PACKERS PRINTERS,MLR PACKERS MOVERS,63.1578947368421,68.42105263157895,8,66.66666666666667,
101867,279298,HR UNIVERSAL SYSTEMS,AAKASH UNIVERSAL,72.0,61.111111111111114,14,72.0,
114027,191828,NETWORK AGRI CITY,CITY RIDE,61.53846153846154,30.76923076923077,13,77.77777777777777,
41383,325288,ELITE REALTY,17 ELITE,76.92307692307692,50.0,9,76.92307692307692,
9618,88341,LSC MINES MINERALS,RUDRA MINES,62.5,41.379310344827594,12,62.5,
43618,298363,PIONEER TRADING,PIONEER INDUSTRIES,66.66666666666666,66.66666666666667,9,100.0,
131312,221781,DOMA CONCEPTS,CONCEPT WEAVERS,64.28571428571428,57.14285714285714,12,64.28571428571428,
175251,308319,UNIVERSAL BIOFUELS,UNIVERSAL ANALYTICAL LAB,66.66666666666666,57.14285714285714,12,66.66666666666666,
137507,141165,NAHAR SPINNING MIILS,EVEREADY SPINNING MILLS,60.46511627906977,69.76744186046511,8,66.66666666666667,
232001,317113,NAVIN WOOD INDUSTRIES,SURAJ WOOD INDUSTRIES,83.33333333333333,80.95238095238095,5,60.0,
10148,342583,VICTOR PACKERS,RUDRA PACKERS MOVERS,66.66666666666666,52.94117647058824,13,66.66666666666666,
247161,328648,SRINIVASA CYSTINE,SHREE SRINIVASA ENTERPRISES,69.23076923076923,59.09090909090908,15,75.0,
50148,270328,S S PIONEER,PIONEER INDUSTRIAL,87.5,48.275862068965516,15,87.5,
6476,264217,GEETA AUTO SALES,GEETA GARMENTS,60.0,60.0,9,72.0,
1004,315542,MANAGING DIRECTOR JOSEPH J VAYALAT,MANAGING PARTNER SHAJI JOSEPH,68.18181818181819,60.31746031746032,19,68.18181818181819,
224386,264661,VENKATESWARA STEELS SPRINGS,VENKATESWARA LOVAPRASAD EXPORTS,65.51724137931035,65.51724137931035,15,75.0,
54674,69367,UNIVERSAL MARBLES,UNIVERSAL HOSPITAL,69.23076923076923,68.57142857142857,8,69.23076923076923,
298091,340358,ABEY PEEDIKAYIL GRACE VILLA THOMAS,THOMAS V M,75.0,27.27272727272727,29,75.0,
1053,278562,AM OFFICE SOLUTIONS,AMOGH OFFICE SYSTEMS,66.66666666666666,66.66666666666667,9,80.0,
56878,263297,SHAILY MATHEW PROPRIETOR,NAVEEN MATHEW PHILIP PROPRIETOR,82.92682926829268,69.0909090909091,13,82.92682926829268,
158808,282140,JAYA SHREE VENKATESWARA INFRA,VENKATESWARA FURNITURE WORKS,60.0,52.63157894736843,24,70.58823529411765,
158742,286574,PLOTUS CONCEPTS,ETUWA CONCEPTS,75.86206896551724,75.86206896551724,5,75.86206896551724,
36998,282784,WOOD MART,JAI SHAKUMBRI WOOD INDUSTRIES,61.53846153846154,31.57894736842105,23,100.0,
68826,98413,BOMBAY CRANE SERVICE,BOMBAY SPRINGS INDIA,60.0,55.00000000000001,11,69.23076923076923,
73273,270256,VIKRAM PLY WOOD INDUSTRIES,JAGDAMBA WOOD INDUSTRIES,76.92307692307692,72.0,8,50.0,
131820,226412,PREMIER DISTRIBUTORS,PREMIER MODERN WINDOWS,61.904761904761905,61.904761904761905,11,61.904761904761905,
281938,340874,JL DAGA MINES MINERALS,TEJESH MINES MINERALAS,63.63636363636363,72.72727272727273,8,71.7948717948718,
234110,303357,M A ASIF UNIVERSAL TIMBERS,UNIVERSAL ORBITAL SYSTEMS,62.745098039215684,50.98039215686274,20,62.745098039215684,
88855,226397,BINU THEKKEDATH JOSEPH PROPRIETOR,BINCE JOSEPH PROPRIETOR,85.0,78.57142857142857,11,85.0,
70560,233461,JUBILANT FOOD WORKS,JUBILANT FPOODWORKS,94.73684210526315,94.73684210526316,2,100.0,
85773,103509,ALLIANCE STRATEGIES,ALLIANCE INFOTECH,64.0,61.111111111111114,8,64.0,
194997,276543,SKN TEMPLE ARCHITECTS SCULPTORS,T SQRE ARCHITECTS,74.07407407407408,54.16666666666667,18,74.07407407407408,
17777,131253,SRINIVASA GUNNY STORES,SRINIVASA BRICKS,72.0,63.1578947368421,11,72.0,
5046,119870,ASHOK SALES,ASHOK KUMAR JAIN PROP S R OSWAL,62.5,42.85714285714286,23,62.5,
106316,140358,VENKATESWARA LORRY TRANSPORT,VENKATESWARA ASSOCIATES,68.57142857142857,66.66666666666667,14,80.0,
131692,189906,RAGHAV COTEX,RAGHAV CHEMICALS,66.66666666666666,64.28571428571428,8,66.66666666666666,
223484,321626,UJJWAL RESIDENCY,HOTEL KRISHNA RESIDENCY,72.0,56.41025641025641,13,72.0,
237513,333144,SOUTH EAST CONS,HARI CONS ASSO,68.9655172413793,48.275862068965516,13,68.9655172413793,
325505,328599,KUND ARCHITECTS,RAGHAVA ARCHITECTS,80.0,66.66666666666667,7,80.0,
70370,150255,JUBILANT ADVENTURES,JUBILANT FOOWORKS,64.0,61.111111111111114,8,64.0,
51673,170356,DUTTA KANNAN ARCHITECTS,GOLDEN INDIA ARCHITECTS,65.21739130434783,65.21739130434783,11,74.07407407407408,
32225,337100,PIONEER POLY PRODUCTS,PIONEER MINERALS PROCESSING,62.5,62.5,14,62.5,
65095,114600,SIVA SANKAR MOTORS LTS,SANKAR TRADING,60.0,50.0,13,100.0,
263930,327030,UNIVERSAL ELECTRIC WORKS,UNIVERSAL PLATE SYSTEM,60.869565217391305,60.86956521739131,12,100.0,
65199,152508,SHIV MINES,BHOM DARBAR MINES MINERALS,66.66666666666666,44.44444444444444,18,66.66666666666666,
105267,169800,VENKATESWARA WIRE PRODUCTS,SRILAKSHMI VENKATESWARA ENTERPRISES,63.1578947368421,55.73770491803278,20,68.57142857142857,
20045,147359,MITTAPALLI SPINNING,SHAMY SPINNING MILLS,66.66666666666666,51.28205128205128,15,66.66666666666666,
61473,212952,MG PROCESSORS,COFOODS PROCESSORS,86.95652173913044,70.96774193548387,7,86.95652173913044,
281109,344176,VENKATESWARA COTTON YARN MILLS,VENKATESWARA SEA FOODS PALAKOL,66.66666666666666,63.33333333333333,16,66.66666666666666,
52981,57747,CHAIRMAN,CHAIRMAN S B MODEL H P S,100.0,50.0,16,100.0,
172056,251476,UNIVERSAL PRODUCTS,UNIVERSAL INFRA PROJECTS,76.19047619047619,76.19047619047619,8,100.0,
80985,264221,ANNAPURNA GREEN CONS,GREENHORIZON ENGINEERING CONS,61.224489795918366,53.06122448979591,18,54.054054054054056,
78773,337315,SURESH BABU SONS,MOHAN BABU TRADERS,64.70588235294117,47.05882352941176,12,57.142857142857146,
145003,321498,BHAVIK BHARAT SHAH SONS HUF,A N SHAH,66.66666666666666,40.0,20,66.66666666666666,
12597,227479,MAHAKAAL MINES MINERALS,DGS MINE MINERALS,70.0,70.0,9,70.0,
72052,123457,TEXWIN SPINNING,SULOCHANA COTTON SPINNING MILLS,69.56521739130434,47.82608695652174,21,69.56521739130434,
251845,323197,SAMRIDDHI PROCESSORS INDIA,TRIBENI PROCESSORS,71.42857142857143,63.63636363636363,12,73.6842105263158,
274596,282882,ALAS SEA FOODS,NEKKANTI SEA FOODS,78.26086956521739,68.75,7,54.54545454545455,
1676,224230,UNIVERSAL ASSOCIATES,UNIVERSAL LIFTING SOLUTIONS,62.06896551724138,59.57446808510638,14,69.23076923076923,
79,211030,LAHARI EXPORTS,LAHARI INFRA,66.66666666666666,61.53846153846154,6,100.0,
105371,261345,PROPRIETOR MOHAMMED NADHEER,PROPRIETOR MOHAMMED SADIQUE C,82.6086956521739,82.14285714285714,6,82.6086956521739,
247839,325936,RAGHAV INDUSTRIES,RAGHAV METALS TRADE,61.111111111111114,61.111111111111114,9,100.0,
117562,323545,SHREE ARIHANTDEV MINES MINERALS,NRSKS MINES MINERALS,82.35294117647058,62.745098039215684,15,82.35294117647058,
13402,54083,DEWCARE CONCEPT,CONCEPT SOLUTIONS METFAB,63.63636363636363,35.89743589743589,19,68.9655172413793,
38564,137101,UNIVERSAL BOTTLER,UNIVERSAL POWER SYSTEMS,69.23076923076923,65.0,11,70.58823529411765,
191577,269497,AMIT KUMAR ARUN KUMAR,VINAYAK STEELS PROP ARUN KUMAR,80.0,58.82352941176471,16,80.0,
54965,119986,CONCEPT MOTORCAR,ZOE CONCEPTS,64.28571428571428,50.0,12,64.28571428571428,
148662,259454,UNIVERSAL STEEL TRADERS,UNIVERSAL STEEL TOOLS,83.33333333333333,81.81818181818181,5,100.0,
173496,306964,ANUPAM TEX PROCESSORS,APOLLO PROCESSORS,74.07407407407408,68.42105263157895,8,74.07407407407408,
73024,87280,JUBILANT FOODWORKSLIMITED,JUBILANT FOODWORKAS,81.81818181818181,81.81818181818181,8,81.81818181818181,
36452,87897,JAI SRI VENKATESWARA TRADERS,SAI VENKATESWARA TRADERS,90.9090909090909,88.46153846153845,5,85.71428571428571,
120412,195507,UNIVERSAL RADIATORS,FUTURE UNIVERSAL PETROCHEM,64.28571428571428,53.333333333333336,16,64.28571428571428,
251633,332402,PARTNER BABU GOPAL,AMAL BABU,61.53846153846154,44.44444444444444,12,61.53846153846154,
3314,35839,RELICS WOOD INDUSTRIES,SRS WOOD INDUSTRIES SAWMILL,81.08108108108108,73.46938775510203,13,53.333333333333336,
141352,282553,SRINIVASA TRADING,SRINIVASA TRANSPORTS,75.67567567567568,75.67567567567568,7,100.0,
122706,227580,MAA KAMAKHYA TRANSPORT AGENCY,KAMAKHYA TRAVELS,66.66666666666666,57.77777777777777,16,100.0,
140121,154093,UNIVERSAL ENGG WORKS,UNIVERSAL THREAD MILLS,62.06896551724138,61.904761904761905,10,78.26086956521739,
52875,128665,SS PACKERS MOVERS MINITRANSPORT,MODERN INDUSTRIAL PACKERS,64.28571428571428,42.85714285714286,24,64.28571428571428,
206257,265051,UNIVERSAL KNITTING MILLS,UNIVERSAL ENTERPRISES,62.22222222222222,62.22222222222222,10,100.0,
154242,176613,ASHOK SONS,ASHOK A PATEL HUF,66.66666666666666,44.44444444444444,11,66.66666666666666,
13119,327462,NB VENKATESWARA GRAND INN,VENKATESWARA SPARE PARTS,66.66666666666666,61.224489795918366,12,66.66666666666666,
20970,136815,YDS ARCHITECTS,MATHEW GHOSH ARCHITECTS,83.33333333333333,64.86486486486487,11,83.33333333333333,
13713,95600,MOHAN MINES,PATWALA MINERALS MINES,62.5,48.484848484848484,14,62.5,
52964,140764,DEVI RESTAURANT BAR,KUMAR BAR RESTAURANT,84.84848484848484,56.41025641025641,13,84.84848484848484,
133130,316565,ASHOK COAL TRADERS,ASHOK ROADWAYS,62.5,62.5,8,66.66666666666666,
228205,253216,VENKATESWARA HOSPITAL,VENKATESWARA SEA FOODS,74.4186046511628,69.76744186046511,9,85.71428571428571,
17705,244897,SATYA SRINIVASA ENTERPRISES,SRINIVASA AUTO AGENCY,62.5,50.0,16,100.0,
159949,190688,BOMBAY ANDHRA TRANSPORT P S,BOMBAY HARDWARE STORES,61.224489795918366,61.224489795918366,13,61.53846153846154,
227399,244934,SRINIVASA TRAVELS,SRINIVASA FERROTECH,69.23076923076923,66.66666666666667,7,100.0,
51882,91287,ARCHITECTS COLLABORATIVE,YASHODHA ARCHITECTS,68.9655172413793,46.51162790697675,21,68.9655172413793,
124101,166688,KALPESH CHIMANLAL SHAH HUF,HIMATLAL TRIBHOVANDAS SHAH,61.53846153846154,46.15384615384615,19,61.53846153846154,
188814,323460,UNIVERSAL MEDICARE,UNIVERSAL STONE EXPORTS,66.66666666666666,58.53658536585367,11,66.66666666666666,
43856,235908,PANCHJANYA PLY BOARDS,PANCHJANYA PLY BOARDS,100.0,100.0,0,100.0,
333404,344200,TAJ TOBACCO TRADERS,VENKATA SAI TOBACCO,63.1578947368421,52.63157894736843,17,77.77777777777777,
302077,335199,RMG SUPER MINES,BAGHERI MINES,64.28571428571428,64.28571428571428,7,64.28571428571428,
56875,334142,PROPRIETOR ASISH JOHN MATHEW,MATHEW JACOB PROPRIETOR,85.0,39.21568627450981,24,85.0,
112982,158808,VENKATESWARA LIFT CARRIERS,JAYA SHREE VENKATESWARA INFRA,63.1578947368421,58.18181818181818,22,68.57142857142857,
4961,10014,MANAGING DIRECTOR CUM CHAIRMAN,CHAIRMAN S D D M,72.72727272727272,34.78260869565217,24,72.72727272727272,
140347,158815,GPR MINES MINERALS,TEJA MINES MINERALS,87.5,81.08108108108108,4,87.5,
12416,336463,PIONEER FACOR IT INFRADEVEL,PIONEER EXPORTS,63.63636363636363,52.38095238095239,16,63.63636363636363,
128556,173439,ELITE TRAVELS,ELITE CABS,69.56521739130434,69.56521739130434,5,100.0,
127470,320649,UNIVERSAL MININGS,UNIVERSAL CAB SERVICES,69.23076923076923,61.53846153846154,10,81.81818181818181,
190196,215415,YOGESH SHAH SECURITIES,SHAH SONS,61.53846153846154,45.16129032258065,15,61.53846153846154,
46398,274009,N M SHAH ENTERPRISE,SHAH ENTERPRISE,100.0,88.23529411764706,4,100.0,
60753,229370,ELITE PRINTING PACKAGING,SD ELITE,76.92307692307692,31.25,21,76.92307692307692,
56424,300117,ASHOK TRANSPORT,ASHOK TRADING,71.42857142857143,71.42857142857143,6,100.0,
18651,286680,SURYA K BABU PROPREITOR,PROP USMAN BABU,63.1578947368421,36.8421052631579,19,63.1578947368421,
90586,257125,SRINIVASA MINERALS MANGAMPET,LAKSHMI SRINIVASA TRADERS,60.37735849056604,49.056603773584904,23,69.23076923076923,
117205,312264,PIONEER WORLD,PONGALUR PIONEER TEXTILES,70.0,47.36842105263158,16,70.0,
263988,309253,THAR MINES MINERALS,KPR MINES MINERALS,87.5,86.48648648648648,3,87.5,
2248,205385,B SREENIVASULU REDDY,MOHIT REDDY,62.5,45.16129032258065,13,62.5,
320097,343253,ELITE BRIDGE BEARINGS,ELITE FLEET,62.5,50.0,13,62.5,
92234,158664,ASHOK INFRA,ARUN ASHOK MANAGING DIRECTOR,62.5,46.15384615384615,19,100.0,
109664,315336,PRAI RESIDENCY,LAXMI RESIDENCY PRAVATE,78.26086956521739,64.86486486486487,12,78.26086956521739,
18396,32768,BRINDA RESIDENCY,REALCON RESIDENCY,72.72727272727272,72.72727272727273,7,72.72727272727272,
91267,152916,SMART OFFICE SOLUTIONS,MKSK OFFICE SOLUTIONS,86.48648648648648,83.72093023255813,4,70.58823529411765,
282908,314632,SAI SRINIVASA TRAVELS,SRINIVASA SECURITY SERVICES,70.83333333333333,62.5,18,81.81818181818181,
49313,80934,QED KARES PACKERS,J S PACKERS,77.77777777777777,71.42857142857143,7,77.77777777777777,
137,257921,UNITED ENGINEERS ALLIANCE,KINGS ALLIANCE,72.72727272727272,66.66666666666667,12,72.72727272727272,
135625,202430,BEST TOURS TRAVELS,BEST TRADERS,66.66666666666666,66.66666666666667,8,100.0,
67426,81395,BOMBAY TRADING INDIA,INDIA BOOKS DISTRIBUTORS BOMBAY,75.0,31.372549019607842,25,100.0,
160144,198053,UNIVERSAL AUTOFOUNDRY,UNIVERSAL POULTRY FEEDS,68.18181818181819,63.63636363636363,11,68.18181818181819,
211351,310179,DUBEY PACKERS MOVERS,SHREE PACKERS MP,60.869565217391305,61.111111111111114,9,60.869565217391305,
115399,336438,VAID ELASTOMER PROCESSORS,ARUNAVE METAL SHEILD PROCESSORS,60.714285714285715,60.71428571428572,15,60.714285714285715,
82632,274806,VIJAYA IRON,VIJAYA RATHNAA FIREWORKS INDUSTRIES,70.58823529411765,47.82608695652174,24,70.58823529411765,
163219,300938,UNIVERSAL ENEGINEERING WORKS,UNIVERSAL NETWORK OF INFOTECH,63.1578947368421,56.14035087719298,17,60.46511627906977,
247378,343281,PIONEER PUBLICITY,PIONEER AIRCON,66.66666666666666,64.51612903225806,8,66.66666666666666,
54771,75841,V S SHAH,SHAH TRADERS,66.66666666666666,40.0,10,100.0,
117544,271219,BHILWARA MINES MINERALS,SHREE RANABAI MINES MINERALS,75.67567567567568,70.58823529411764,10,75.67567567567568,
145611,217315,INTERBRICKS RESIDENCY,SAS RESIDENCY HOTEL,65.0,55.00000000000001,16,65.0,
73029,231154,MOHAN REDDY JEWELLERS,KIRAN REDDY,62.5,50.0,13,72.72727272727272,
122818,338953,BABU,MANAGING DIRECTOR ALEX K BABU,100.0,24.242424242424242,25,100.0,
53971,164965,VENKATESWARA GAS SERVICE,VENKATESWARA AUTOMOTIVE,68.57142857142857,68.08510638297872,8,85.71428571428571,
91287,143795,YASHODHA ARCHITECTS,VAST ARCHITECTS,80.0,76.47058823529412,6,80.0,
234757,300841,VGP UNIVERSAL KINGDOM,UNIVERSAL TEXTILE MILLS,60.0,54.54545454545454,16,60.0,
20045,196585,MITTAPALLI SPINNING,CHERAN SPINNING MILLS,65.0,50.0,15,65.0,
185928,188366,SHREE SAWARIYA MINES,MALWA MINES MINERALS,60.0,50.0,16,60.0,
82293,140386,PIONEER HOSE HYDRAULICS,PIONEER CONSTRUCTIONS,63.63636363636363,63.63636363636363,12,100.0,
54674,155435,UNIVERSAL MARBLES,UNIVERSAL INTEGRATED CORPORATE SERVICE,69.23076923076923,50.90909090909091,24,69.23076923076923,
119506,288439,SRINIVASA MAHAL,SRINIVASA DAIRY,75.0,73.33333333333334,4,75.0,
289125,338028,PREMIER GREEN INNOVATIONS,PREMIER LUBRICANTS,60.46511627906977,60.46511627906976,14,60.46511627906977,
6692,310773,ASHOK KUMAR,ASHOK CHUNILAL CHUGH SHROFF HUF,62.5,42.85714285714286,22,62.5,
102385,184428,PREMIER RUBBERS,PREMIER CARBONIC,64.51612903225806,64.51612903225806,7,64.51612903225806,
198814,219624,UNIVERSAL ROADLINES,UNIVERSAL INFRA,75.0,70.58823529411764,8,100.0,
153299,207372,I B SALES PACKERS,DATA PACKERS MOVERS,61.111111111111114,50.0,12,61.111111111111114,
109694,228953,RAGHAV MOTORS,RAGHAV PRODUCTIVITY SOLUTIONS,63.1578947368421,52.38095238095239,18,63.1578947368421,
11090,96869,SHAH DEVCHAND,R M SHAH,66.66666666666666,38.095238095238095,10,66.66666666666666,
14380,200040,JUPITER OFFICE SOLUTION,TOTAL OFFICE SOLUTIONS,66.66666666666666,75.55555555555556,7,66.66666666666666,
247480,331198,RVN PAPER BOARDS,SURYANSH PULP BOARD,62.857142857142854,62.857142857142854,11,62.857142857142854,
56325,87032,PROCESS ARCHITECTS,XEBIA IT ARCHITECTS INDIA,71.42857142857143,55.81395348837209,14,71.42857142857143,
209773,307319,SUPERMARKET GROCERY SUPPLIES LT,HUTTY SUPPLIES,72.72727272727272,53.333333333333336,19,72.72727272727272,
95777,217048,ASTON PROCESSORS,BLUE STAR PROCESSORS,76.92307692307692,72.22222222222221,7,76.92307692307692,
230261,264661,VENKATESWARA GAS AGENCIES,VENKATESWARA LOVAPRASAD EXPORTS,64.86486486486487,64.28571428571428,14,85.71428571428571,
153659,302168,MANSA PACKERS,RITIKA RELOCATION PACKERS MOVERS,70.0,44.44444444444444,22,70.0,
6476,177017,GEETA AUTO SALES,GEETA ENTERPRISES,60.60606060606061,60.60606060606061,8,100.0,
232476,279791,RENAATUS READYMIX,H Y C READYMIX CONCRETE,64.0,44.99999999999999,17,64.0,
21433,291968,SRINIVASA INFRA PROJECTS,SRINIVASA INFRA,100.0,76.92307692307692,9,100.0,
105474,167388,SHREE RAGHAV INDUSTRIES,RAGHAV VANIJYA,60.0,48.64864864864865,16,66.66666666666666,
5019,282484,MAA SHARDA MINES MINERALS,GSTAR MINES MINERAKS OPC,65.3061224489796,69.38775510204081,12,69.76744186046511,
13118,128116,SREE LAKSHMI NEELIMA SEA FOODS,B S SEA FOODS,81.81818181818181,55.81395348837209,18,60.0,
128912,153299,ALLIANCE PACKERS MOVERS,I B SALES PACKERS,60.0,55.00000000000001,15,60.0,
82025,198814,UNIVERSAL ENERGY SOLUTIONS,UNIVERSAL ROADLINES,71.11111111111111,71.11111111111111,12,72.0,
278910,340718,P A ENVO CIVIL SOLUTIONS,ANDVI CIVIL CONSTRUCTION WORKS,62.96296296296296,62.96296296296296,17,76.19047619047619,
272687,304455,ASHOK ANIL ENTERPRISES,ASHOK INVESTMENTS,61.53846153846154,61.53846153846154,12,100.0,
48889,149652,KAVYATRI PAPER BOARD,M A PAPER CARD BOARD FACTORY,70.96774193548387,54.16666666666667,19,70.96774193548387,
51796,151938,BEST MONEY TRAVEL SERVICES L,REAL BEST EVENT SERVICES,73.07692307692308,65.38461538461539,14,58.8235294117647,
43618,244464,PIONEER TRADING,PIONEER HEALTHCARE PRODUCTS,63.63636363636363,52.38095238095239,16,100.0,
